tweet;label
Pelaksanaan pemberlakuan pembatasan kegiatan masyarakat (PPKM) darurat memiliki konsekuensi menekan laju pemulihan ekonomi. Pertumbuhan ekonomi triwulan III 2021, yang sebelumnya digadang-gadang dapat dipacu kencang, harus diturunkan seiring… https://t.co/3T9TBjF9XJ #KoranTempo;Ekonomi
Fenomena ini terjadi karena e-commerce telah menjadi sektor utama dalam kegiatan ekonomi dan menciptakan permintaan yang sangat pesat. https://t.co/lgdsphqxfW;Ekonomi
Rencana PT Bukalapak Tbk untuk melantai di bursa saham dianggap sebagai strategi untuk mengejar para unicorn atau perusahaan digital bervaluasi US$ 1 miliar lainnya. Pendanaan baru diperlukan karena sejumlah platform e-commerce yang selevel… https://t.co/u8H9gVasUM #KoranTempo;Ekonomi
"@prabowo Prabowo Subianto menyatakan, keberhasilan China hilangkan kemiskinan dalam satu generasi perlu dipelajari. Bisa jadi ideologinya tidak cocok di Indonesia, tetapi harus dicarikan metodenya. #Polhuk #AdadiKompas

https://t.co/4xf8Z4K76w";Ekonomi
Standard Chatered Bank Indonesia merevisi proyeksi pertumbuhan ekonomi Indonesia untuk tahun 2021 dan 2022 https://t.co/4XqrNZFx1E;Ekonomi
"Presiden Joko Widodo: Penyediaan bahan baku mebel dan kerajinan harus mengedepankan juga kelestarian hutan. Proses produksi harus rendah karbon, dan manfaat ekonomi harus dirasakan masyarakat lapis bawah. #Ekonomi #AdadiKompas 

https://t.co/YWAgEjXpm2";Ekonomi
"""Dari rencana-rencana yang sudah dipersiapkan, kami optimistis untuk kemiskinan ekstrem pada 2024 kami akan berusaha menekan sampai nol persen,"" https://t.co/TMAXuiPOtp";Ekonomi
Kelesuan ekonomi akibat pandemi Covid-19 tidak menghambat pertumbuhan kekayaan segelintir penduduk Indonesia. Jumlah warga yang memiliki kekayaan di atas US$ 1 juta atau Rp 14,47 miliar meningkat pada tahun lalu. #korantempodigital #KoranTempo https://t.co/uegGmhGfyx;Ekonomi
"Tiga strategi besar ekonomi meliputi hilirisasi industri, digitalisasi UMKM, serta ekonomi hijau. Indef mengingatkan, pemulihan kesehatan sebagai dampak dari pandemi Covid-19 menjadi prasyarat agar ekonomi bisa pulih. #Ekonomi
#AdadiKompas @mawarkukun

https://t.co/F3ywiLPeG7";Ekonomi
Pemerintah akan menarik utang baru dengan target indikatif Rp 10 triliun melalui lelang Surat Berharga Syariah Negara (SBSN) https://t.co/yLnHtxJjIx;Ekonomi
"Ekosistem skema imbal dagang ”B-to-B”, mulai dari badan pelaksana, lembaga pembiayaan, jaminan atau asuransi kredit, hingga jasa logistik, disiapkan. Bunga kredit dan biaya logistik ekspor juga telah ditekan rendah. #Ekonomi #AdadiKompas 

https://t.co/RSi2pWfqvc";Ekonomi
Analis Artha Sekuritas Dennies Christoper Jordan menilai, wacana stock split BCA memudahkan investor dengan budget pas-pasan untuk membeli saham. https://t.co/GGij2pOGI5;Ekonomi
"Menurut Prabowo, perlu keberanian untuk memisahkan pusat pemerintahan dari pusat keuangan, perdagangan, industri. Bagaimana menurutmu? .. #Nasional
https://t.co/TWKf8VUipW";Ekonomi
Investasi di kawasan ekonomi khusus mencapai Rp 50,3 triliun sepanjang tahun ini. Kinerja KEK industri manufaktur paling moncer selama masa pandemi Covid-19. Pemerintah menetapkan empat KEK baru. #korantempodigital #KoranTempo https://t.co/ABA6315KDy;Ekonomi
Masih banyak orang peduli dan melestarikan kebudayaan Betawi. Salah satunya, dengan membuat dan menghasilkan produk ekonomi kreatif (ekraf). https://t.co/H3NLRmsFBx;Ekonomi
Pembatasan pergerakan masyarakat akan menekan perekonomian. Bank perlu mendukung UMKM dan sektor infrastruktur untuk mempercepat pemulihan ekonomi. https://t.co/79BUmPRMRp #KoranTempo;Ekonomi
"Menteri Pariwisata dan Ekonomi Kreatif Sandiaga Uno melakukan uji coba pembukaan 20 destinasi wisata di tanah air untuk membangkitkan kembali sektor pariwisata dan ekonomi kreatif. / #Money 
 https://t.co/maXPp7bMJu";Ekonomi
Para pengusaha warteg itu curhat ke Presiden Jokowi mengenai kesulitan di masa pandemi. https://t.co/vVR4pXL93a;Ekonomi
KEK Gresik diharapkan menjadi lokomotif pertumbuhan ekonomi di Jawa Timur. https://t.co/KJJ6utsGus;Ekonomi
Pemerintah melalui Kementerian Keuangan (Kemenkeu) terus mengejar utang anak usaha Lapindo Brantas Inc, PT Minarak Lapindo milik keluarga Bakrie. https://t.co/xwBwH8BYS1;Ekonomi
Tak hanya berencana memangkas anggaran kesehatan dan perlindungan sosial, pemerintah juga mengisyaratkan bakal mengurangi insentif bagi dunia usaha pada tahun depan. Fasilitas keringanan pajak serta penjadwalan ulang cicilan utang, misalnya,… https://t.co/3hXHF8zcjP #KoranTempo;Ekonomi
Pandemi Covid-19 telah memperparah tren TPPO karena banyak orang yang mengalami kesulitan ekonomi https://t.co/E8FrDT1AZi;Ekonomi
"Sektor pertanian membuktikan diri cukup tangguh selama pandemi Covid-19. Ia bersemi di kala sektor lain mengalami kontraksi cukup dalam. #Opini #AdadiKompas 

https://t.co/1FuIQxKKCp";Ekonomi
"OJK tidak dapat menyalahkan nasabah atas kerugian akibat kesenjangan yang sangat lebar antara inklusi keuangan khususnya perbankan yang tinggi dengan literasi asuransi yang sangat rendah.

Wewenang OJK Lindungi Konsumen
Opini 9 Juli 2021

https://t.co/QTqhRIW8Ju https://t.co/LfVUgAfjIs";Ekonomi
"Reksa dana adalah instrumen investasi yang sesuai untuk investor pemula. Namun, investor hendaknya tidak hanya ikut-ikutan dalam berinvestasi, tetapi terlebih dahulu mengenali profil risiko masing-masing. #Ekonomi #AdadiKompas

https://t.co/eVGA9b6fNo";Ekonomi
Kementerian Pariwisata dan Ekonomi Kreatif gencar menawarkan berbagai proyek pengembangan pariwisata kepada investor asing. Penyelenggaraan KTT G20 di Indonesia pada akhir 2022 akan menaikkan nilai jual destinasi wisata Indonesia. https://t.co/0vbB5aUQ1k #KoranTempo;Ekonomi
Himpunan Bank Milik Negara (Himbara) terus berupaya mendorong usaha mikro, kecil dan menengah (UMKM) agar terus berkembang dan bertahan di tengah kesulitan akibat pandemi covid-19.   https://t.co/9LS0R5CRhB;Ekonomi
"""Jadi memang perlu adanya (PPKM darurat)..., walaupun ini mengakibatkan ekonomi yang mulai reborn pasti akan kembali tertahan."" https://t.co/ueLFFTXZDJ";Ekonomi
"""Angka kemiskinan pada Maret 2021 juga mengalami penurunan menjadi 20,99 persen,"" kata Viktor. https://t.co/GkuEF8W0FO";Ekonomi
Digitalisasi dan pengembangan potensi desa wisata dapat menjadi solusi bagi pengusaha di bidang pariwisata dan ekonomi kreatif saat pandemi Covid-19. https://t.co/0g467YtQG3;Ekonomi
Presiden Jokowi mengingatkan era kejayaan komoditas bahan mentah sudah berakhir. Karena itu, Indonesia mesti berani mengubah struktur ekonomi yang selama ini berbasis komoditas untuk masuk ke industrialisasi. #ekonomi #AdadiKompas https://t.co/aJVSI8ng4F;Ekonomi
"Pemerintah akan membagikan bantuan presiden produktif usaha mikro sebesar Rp 15,3 triliun kepada 12,8 juta pelaku usaha mikro dan kecil. Namun, pelaku usaha pun diharapkan bekerja lebih keras dan bertahan sekuat tenaga. #Ekonomi #AdadiKompas 

https://t.co/NnN1VYen4T";Ekonomi
Pemerintah memberikan bantuan serta insentif kepada masyarakat dalam program pemulihan ekonomi nasional. https://t.co/1MCLOXZP6r #KoranTempo;Ekonomi
Setelah terpilih sebagai Ketum Kadin 2021-2026, Arsjad menyampaikan komitmen Kadin untuk mendukung pemulihan kesehatan dan ekonomi. https://t.co/IyVdzb0aCJ;Ekonomi
Kementerian Keuangan (Kemenkeu) mencatat aset negara yang dikelola Direktorat Jenderal Kekayaan Negara (DJKN) mengalami kenaikan. https://t.co/1j1XDvwEHz;Ekonomi
Masa relaksasi restrukturisasi kredit perbankan resmi diperpanjang hingga tahun 2023 mendatang seiring adanya keputusan dari Otoritas Jasa Keuangan. https://t.co/esZrqCVhIg;Ekonomi
Kuelap merupakan sebuah koperasi finance digital yang beroperasi di tiga kawasan, di antaranya Indonesia, Afrika dan Amerika Latin. https://t.co/NjxxBYTBrC;Ekonomi
Kian pulih, ekonomi Singapura melesat 14,3 persen pada kuartal II-2021 ini. https://t.co/pQWjLXIuC2;Ekonomi
Kalau penghasilannya berkurang atau hilang sama sekali, maka tidak ada uang untuk membayar cicilan utang. https://t.co/iVAlitrEJR;Ekonomi
"“Akibat dari Indonesia booming infrastruktur, BUMN terus menambah utang dalam jumlah besar dan terancam mengalami kesulitan keuangan, terutama dalam kondisi pandemi Covid-19,” papar Fitch Solution. | #Money 

https://t.co/QGUBGjlYDl";Ekonomi
Presiden Joko Widodo mengatakan, dengan transformasi ekonomi, Indonesia tidak lagi mengekspor barang mentah, tetapi mengekspor barang jadi. https://t.co/ag2j8XS8vL;Ekonomi
Selain berinvestasi di reksadana, kamu juga bisa diversifikasi aset ke deposito, obligasi, dan saham. https://t.co/OiGVahWiFp;Ekonomi
"Lagu lama diaransir kembali oleh penyanyi baru, tetapi berasal dari rumah produksi yang sama. Itulah lagu tentang sistem Koperasi Simpan Pinjam. Ketika anggota menyimpan uang di koperasi, apakah ada jaminan rasa aman? #Ekonomi #AdadiKompas 

https://t.co/Wny4d9526G";Ekonomi
Bisnis bank digital kian ramai dengan ekspansi sejumlah bank konvensional. Untuk memperkuat permodalan, pengelola bank digital menggelar penawaran saham baru. #korantempodigital #KoranTempo https://t.co/cF89rB147b;Ekonomi
"Indonesia yang mengklaim memiliki jumlah ribuan koperasi sama sekali tidak masuk ke dalam 300 koperasi besar dunia. Posisi Indonesia ternyata tidak banyak diperhitungkan sebagai penggerak perekonomian rakyat. #Ekonomi #AdadiKompas 

https://t.co/WzWWjRquSk";Ekonomi
Menteri Keuangan Sri Mulyani Indrawati mengatakan, utang baru pada semester II tahun 2021 diproyeksi mencapai Rp 515,1 triliun. https://t.co/bV5kwlL1hx;Ekonomi
Eks Panglima TNI itu mengimbau masyarakat untuk bersabar menjalani PPKM. Ia mengklaim, PPKM efektif untuk menekan kasus dan memulihkan ekonomi negara https://t.co/k3krTKS8Bj;Ekonomi
Bukalapak akan mencatatkan sahamnya di Bursa Efek Indonesia pada 6 Agustus mendatang. Unicorn ini berencana menjual 25,76 miliar saham ke publik atau setara 25 persen dari total saham, dengan target perolehan dana hingga Rp 21,9 triliun. https://t.co/sbvVj685Du #KoranTempo;Ekonomi
"Tak hanya menyediakan beragam kebutuhan belanja online dan barang digital lain, Tokopedia juga memberikan layanan untuk belajar tentang investasi lewat Kamus Keuangan Tokopedia. #ads 

https://t.co/1ZDUtKZ4uu";Ekonomi
"BUMN bisa meraih profit atau keuntungan. Namun, keuntungan yang diraih tidak akan ada artinya jika BUMN tidak mampu membangun kolaborasi dengan UMKM. #Ekonomi #AdadiKompas

https://t.co/GUwRqenHne";Ekonomi
Gaji tersebut rencananya akan dikumpulkan setiap bulan dan difokuskan untuk menekan dampak ekonomi akibat pandemi Covid-19. https://t.co/DresOuFZ7Z;Ekonomi
Meski September Effect dianggap bulan buruk bursa saham, sektor properti masih masuk dalam rekomendasi potensial bagi investor untuk mengoleksi saham. https://t.co/FFSjENOQMN;Ekonomi
Kelesuan ekonomi akibat pandemi Covid-19 tidak menghambat pertumbuhan kekayaan segelintir penduduk Indonesia. Jumlah warga yang memiliki kekayaan di atas US$ 1 juta atau Rp 14,47 miliar meningkat pada tahun lalu. https://t.co/mGYEZdRSbU #KoranTempo;Ekonomi
Pemerintah merealokasikan Anggaran Pendapatan dan Belanja Negara (APBN) untuk menambah dana program Pemulihan Ekonomi Nasional (PEN). Tambahan dana disalurkan untuk mengatasi dampak PPKM darurat. #korantempodigital #KoranTempo https://t.co/MHMQb1Ha7J;Ekonomi
Program jaminan perlindungan sosial belum sejalan dengan peningkatan jumlah masyarakat miskin akibat pandemi Covid-19. https://t.co/DAPxfZQSgG;Ekonomi
"Guru anak petani Pedro Castillo memenangkan Pilpres Peru mengalahkan anak mantan presiden. Ia merencanakan perombakan sistem ekonomi yang lebih berorientasi pada kepentingan rakyat banyak—atau ringkasnya sosialisme.

https://t.co/BEvQs8Utes";Ekonomi
"Menteri Keuangan Sri Mulyani Indrawati menjawab keluhan warga yang kesal karena semua barang/jasa seolah terus dipajaki pemerintah. / #Money 
 https://t.co/bJqoaF8y7w";Ekonomi
Menteri Pariwisata dan Ekonomi Kreatif Republik Indonesia, Sandiaga Salahudin Uno, mengatakan melakukan digitalisasi usaha akan membantu pelaku usaha mikro kecil dan menengah (UMKM) kuliner melewati pandemi COVID-19.  https://t.co/aoKBdL4CyP;Ekonomi
"(@gojekindonesia) Gojek menyerahkan operasional bisnis di Thailand kepada Airasia Group. Selanjutnya, Gojek akan lebih fokus mengembangkan pasar globalnya di Vietnam dan Singapura. #Ekonomi #AdadiKompas

https://t.co/i6VvrNztq9";Ekonomi
"Sektor ritel mulai merumahkan pekerja di tengah penerapan PPKM darurat. Aprindo berharap agar pemerintah juga memberikan insentif di sektor ini, seperti keringanan tarif listrik dan subsidi upah. #Ekonomi #AdadiKompas

https://t.co/wVgEUc8M5q";Ekonomi
Tidak sampai di situ, hingga akhirnya masa pandemi datang, omzet dari pekerjaan barunya pun turun hingga 100%. Selama satu setengah tahun bisnis barunya tersebut tidak mendapatkan income.  https://t.co/h2L8SEbGLF;Ekonomi
"Airlangga memperkirakan, kegiatan sosial-ekonomi masyarakat dapat kembali pulih pada kuartal IV tahun 2021 mendatang. / #Nasional 
 https://t.co/xPssgsqiIn";Ekonomi
Indonesia membutuhkan tak kurang dari sembilan juta talenta digital, demi mendukung perkembangan ekonomi. https://t.co/49eRwzHJyl;Ekonomi
Keberadaan fintech diklaim memiliki potensi besar untuk mengubah kedudukan sosial bagi masyarakat menengah ke bawah secara ekonomi. https://t.co/CfUnxHneLH;Ekonomi
"Candi Borobudur telah ditetapkan sebagai destinasi wisata super prioritas. Namun, pengembangannya menyisakan banyak pekerjaan rumah. Warga berharap program itu tak sebatas jargon dan mengangkat ekonomi riil. #Nusantara #AdadiKompas @harisfirdaus 

https://t.co/vB1TQ2sCBs";Ekonomi
Pertumbuhan kinerja keuangan perbankan masih cenderung moderat menjelang akhir tahun ini. https://t.co/sLw2whUxtr #KoranTempo;Ekonomi
Sistem ekonomi adalah cara untuk mengatur atau mengorganisasi seluruh aktivitas ekonomi. https://t.co/asSB4VeP6Z;Ekonomi
Meski pandemi menyebabkan minimnya lapangan pekerjaan, namun ada tips dari para ahli agar kita bisa memeroleh sumber penghasilan yang baru. https://t.co/ZMJWp0ws43;Ekonomi
"Di Hari Koperasi Nasional ke 74, masih ada keluhan korban koperasi bodong dan gagal bayar.
Sementara kehadiran Lembaga Penjamin Simpanan untuk koperasi masih menghadapi resistensi sangat tinggi. #Ekonomi #PahamiKoperasi #AdadiKompas 

https://t.co/1jgN24ya6E";Ekonomi
"Otoritas Jasa Keuangan melalui Keputusan Dewan Komisioner (KDK) Nomor KEP-85/D.05/2021 tanggal 24 Agustus 2021 membubarkan Dana Pensiun Inhutani dan mulai efektif 31 Agustus 2021. / #Money 
 https://t.co/7yTwOumgo2";Ekonomi
Indeks Harga Saham Gabungan (IHSG) diproyeksikan akan melanjutkan penguatan pada Rabu (25/8/2021). https://t.co/2YViN2MCKR;Ekonomi
Indonesia Commodity Derivatives Exchange (ICDX) menanti restu pemerintah untuk mewadahi perdagangan karbon. Peraturan presiden tentang nilai ekonomi karbon belum rampung. #korantempodigital #KoranTempo https://t.co/6oX5AiI68d;Ekonomi
Perusahaan teknologi raksasa di Tanah Air berlomba menyiapkan diri untuk melantai di bursa saham seperti yang telah dilakukan Bukalapak. Terbaru, platform https://t.co/scpGdHhuvv disebut-sebut berencana melakukan penawaran saham perdana… https://t.co/crSjSy9Fxq #KoranTempo;Ekonomi
Ini Beberapa Program Pemerintah untuk Pulihkan UMKM dari Dampak Pandemi  https://t.co/ljuSdyJp2O;Ekonomi
Pertumbuhan kinerja keuangan perbankan masih cenderung moderat menjelang akhir tahun ini. Laju kredit perbankan hanya tumbuh 0,4 persen pada Juni 2021. #korantempodigital #KoranTempo https://t.co/alVtvNOpz8;Ekonomi
Pemerintah menyiapkan pemberdayaan ekonomi bagi pekerja migran Indonesia bermasalah (PMIB) yang dipulangkan dari Malaysia. https://t.co/DckkDX6Qo8;Ekonomi
"""Diduga motif peretasan untuk memperoleh keuntungan ekonomi dengan menjual script backdoor dari website,"" https://t.co/O0gOXeRnk9";Ekonomi
Laporan itu muncul ketika negara-negara miskin masih berjuang keras memvaksinasi populasi mereka karena kendala pasokan vaksin Covid-19. https://t.co/Igj7BLmlgB;Ekonomi
Pusat belanja dilarang beroperasi pada masa PPKM darurat hingga 20 Juli. Sebanyak 30 persen pekerja pusat belanja berpotensi dirumahkan. Saham emiten retail bepotensi kembali anjlok. #korantempodigital #KoranTempo https://t.co/HRRPl0aZOW;Ekonomi
Badan Pusat Statistik DKI Jakarta menyebutkan jumlah penduduk miskin di Ibu Kota pada Maret 2021 bertambah 5.100 orang atau menjadi 501.920 orang. Jumlah itu setara dengan 4,72 persen dari seluruh warga Jakarta. Kenaikan angka kemiskinan itu… https://t.co/8hs9gnvuYy #KoranTempo;Ekonomi
Standard Chartered Bank Indonesia meluncurkan program COVID-19 Economic Recovery Programme untuk mendukung perempuan pengusaha UMKM yang terdampak pandemi COVID-19. #kumparanWOMAN https://t.co/NFRmHaJoGg;Ekonomi
Berbagai pembatasan untuk menekan penularan wabah Covid-19 turut mempengaruhi angka kemiskinan. https://t.co/wuIfq1hrbK #KoranTempo;Ekonomi
Dalam 22 tahun terakhir, anggaran pendapatan dan belanja negara masih terbebani oleh dampak kasus Bantuan Likuiditas Bank Indonesia (BLBI). Harus membayar bunga dan pokok surat utang negara yang diterbitkan di era krisis moneter 1997-1998.   https://t.co/64DfwU3CT4 #KoranTempo;Ekonomi
Keuangan Ferry Irawan terganggu karena biaya pengobatan penyakitnya sangat besar. https://t.co/9lueZoPd6o;Ekonomi
Karena itu, secara keseluruhan pihaknya memperkirakan pertumbuhan ekonomi pada 2021 dapat mencapai 3,5%-4,3%.   https://t.co/Rj2WI4gkN8;Ekonomi
"Pertanian menjadi salah satu sektor yang tetap bisa bertahan di tengah pandemi Covid-19. Nilai ekspor komoditas pertanian tahun 2020 justru naik 15,79 persen dari tahun sebelumnya. #Ekonomi #AdadiKompas
@ninasusilo 

https://t.co/aQLscRHlhm";Ekonomi
Hobi memelihara ikan channa sedang naik daun akhir-akhir ini. Selain perawatannya yang mudah, ikan channa juga memiliki nilai ekonomi tinggi. https://t.co/CxMEhWw5EZ;Ekonomi
Omzet sejumlah UMKM di Yogyakarta turun drastis akibat banyaknya mahasiswa yang pulang kampung selama pandemi. #publisherstory https://t.co/koxn1W60Q3;Ekonomi
Jumlah pertumbuhan investor saham baru meningkat pesat dalam kurun delapan bulan di 2021, naik hampir dua kali lipat dari tahun sebelumnya. https://t.co/VJBHsxCze2;Ekonomi
Pandemi yang berkepanjangan membuat pengusaha kecil dan menengah bersiasat mengelola keuangan. Dengan dana pas-pasan, tak sedikit dari mereka berutang demi menambah modal dan menutup biaya operasional. Disiplin mencatat pemasukan dan… https://t.co/CmPBSpLN9A #KoranTempo;Ekonomi
Pemerintah mewaspadai dampak gagal bayar utang yang membelit raksasa properti Cina, Evergrande, terhadap perekonomian domestik. Krisis di Cina akan mempengaruhi kinerja ekspor Indonesia.  https://t.co/Fin43ms4xY #KoranTempo;Ekonomi
Perpanjangan PPKM darurat menghambat momentum pemulihan ekonomi yang telah terjadi pada kuartal II. https://t.co/rOtSgH41Qt #KoranTempo;Ekonomi
Bank BJB, meluncurkan nama baru dan tambahan layanan bagi nasabah perorangan eksklusif, yakni BJB Prioritas. Peluncuran re-branding BJB Prioritas diselenggarakan di Nusa Dua, Badung, Bali, Jumat (17/9/2021). #ekonomi #AdadiKompas https://t.co/sutem6cgd3;Ekonomi
"BBM bersubsidi ataupun penugasan ditetapkan pemerintah, sedangkan BBM lainnya ditetapkan badan usaha dengan formula yang sudah ditetapkan pemerintah. Sampai saat ini, harga produk BBM Pertamina tidak berubah. #Ekonomi
#AdadiKompas @judithjurang

https://t.co/bdwIR6gm4E";Ekonomi
Upaya pemerintah untuk meredam dampak pandemi terhadap perekonomian nasional dengan meningkatkan porsi pembiayaan utang tidak akan maksimal. https://t.co/sFhff2s2fC;Ekonomi
Menkominfo Johnny G Plate mengatakan, potensi nilai ekonomi digital di Indonesia mencapai sekitar 124 miliar dollar AS pada 2025. https://t.co/oKFtj3PJRm;Ekonomi
"{Thread}

Bagaimana sikap pemerintah RI setelah kapal-kapal asing memasuki wilayah Zona Ekonomi Eklusif (ZEE) Indonesia, terutama di kawasan Laut Natuna? | #JernihkanHarapan #Natuna

https://t.co/ne9GrEPZZE";Ekonomi
Sri Mulyani berencana menaikkan pajak orang kaya dalam bentuk PPh serta rencana menggulirkan kembali tax amnesty. https://t.co/cCmt5mG0m7;Ekonomi
"Di tengah target produksi minyak 1 juta barel per hari pada 2030, Pertamina harus mampu mebuktikan bahwa alih kelola Blok Rokan dari Chevron adalah keputusan yang tepat. #Ekonomi #AdadiKompas

https://t.co/RouJJcjfpR";Ekonomi
"Meski memiliki sejumlah komoditas unggulan, kondisi ekspor usaha pertanian di Sultra terus terpuruk. Pemerintah diharapkan tidak hanya fokus ke industri besi dan baja karena berdampak luas pada kesejahteraan masyarakat. #Ekonomi #AdadiKompas 

https://t.co/u7Fk1WBpRj";Ekonomi
Menurut erick Thohir, kadang kala BUMN memoles kinerja keuangan agar nampak sehat, padahal baru saja menambah utang. https://t.co/QSmcmLP5z5;Ekonomi
"Memperkuat lembaga keuangan masyarakat, terutama koperasi, adalah sangat penting. Kelembagaan keuangan berbasis masyarakat membuat akses kredit bagi masyarakat tepat sasaran, tapi juga penting bagi pertahanan ekonomi. #Opini #AdadiKompas #PahamiKoperasi

https://t.co/ROlRBokh73";Ekonomi
Kereta Api Bandara Yogyakarta International Airport akan beroperasi secara komersial mulai 17 September 2021. Setelah 16 hari digratiskan, kini penumpang harus membayar dengan tarif mencapai Rp 20.000 per orang. #Ekonomi #AdadiKompas https://t.co/rAU9eOrNKm;Ekonomi
"Di tengah pandemi Covid-19, sektor pertanian masih menjadi harapan, bahkan menunjukkan dapat bertahan. Ketika ekonomi Indonesia mengalami resesi dan terkontraksi minus 2,07 persen pada tahun lalu, sektor pertanian justru bertumbuh. #Ekonomi #AdadiKompas

https://t.co/Qn4YGo3f31";Ekonomi
Susunan dewan komisaris saat ini diharapkan memberi nilai tambah baik kepada IFG, para pemegang saham, investor, maupun pemangku kepentingan lain. https://t.co/vN0sf6Qlq7;Ekonomi
Vaksinasi pelaku pariwisata dan ekonomi kreatif diharapkan mampu membangkitkan kembali sektor parekraf dan membuka lapangan kerja. https://t.co/NpISEihhQe;Ekonomi
